fight_date,fight_id,height_diff,reach_diff,age_diff,experience_diff,weight_class,stance_matchup,wins_diff,losses_diff,overall_winrate_diff,winrate_last3_diff,winrate_last5_diff,recency_avg_last3_diff,recency_avg_last5_diff,win_streak_diff,body_attempts_avg_last3_diff,body_landed_avg_last3_diff,body_accuracy_avg_last3_diff,body_attempts_avg_last5_diff,body_landed_avg_last5_diff,body_accuracy_avg_last5_diff,body_attempts_avg_overall_diff,body_landed_avg_overall_diff,body_accuracy_avg_overall_diff,clinch_attempts_avg_last3_diff,clinch_landed_avg_last3_diff,clinch_accuracy_avg_last3_diff,clinch_attempts_avg_last5_diff,clinch_landed_avg_last5_diff,clinch_accuracy_avg_last5_diff,clinch_attempts_avg_overall_diff,clinch_landed_avg_overall_diff,clinch_accuracy_avg_overall_diff,distance_attempts_avg_last3_diff,distance_landed_avg_last3_diff,distance_accuracy_avg_last3_diff,distance_attempts_avg_last5_diff,distance_landed_avg_last5_diff,distance_accuracy_avg_last5_diff,distance_attempts_avg_overall_diff,distance_landed_avg_overall_diff,distance_accuracy_avg_overall_diff,ground_attempts_avg_last3_diff,ground_landed_avg_last3_diff,ground_accuracy_avg_last3_diff,ground_attempts_avg_last5_diff,ground_landed_avg_last5_diff,ground_accuracy_avg_last5_diff,ground_attempts_avg_overall_diff,ground_landed_avg_overall_diff,ground_accuracy_avg_overall_diff,head_attempts_avg_last3_diff,head_landed_avg_last3_diff,head_accuracy_avg_last3_diff,head_attempts_avg_last5_diff,head_landed_avg_last5_diff,head_accuracy_avg_last5_diff,head_attempts_avg_overall_diff,head_landed_avg_overall_diff,head_accuracy_avg_overall_diff,leg_attempts_avg_last3_diff,leg_landed_avg_last3_diff,leg_accuracy_avg_last3_diff,leg_attempts_avg_last5_diff,leg_landed_avg_last5_diff,leg_accuracy_avg_last5_diff,leg_attempts_avg_overall_diff,leg_landed_avg_overall_diff,leg_accuracy_avg_overall_diff,td_attempts_avg_last3_diff,td_landed_avg_last3_diff,td_accuracy_avg_last3_diff,td_attempts_avg_last5_diff,td_landed_avg_last5_diff,td_accuracy_avg_last5_diff,td_attempts_avg_overall_diff,td_landed_avg_overall_diff,td_accuracy_avg_overall_diff,total_str_attempts_avg_last3_diff,total_str_landed_avg_last3_diff,total_str_accuracy_avg_last3_diff,total_str_attempts_avg_last5_diff,total_str_landed_avg_last5_diff,total_str_accuracy_avg_last5_diff,total_str_attempts_avg_overall_diff,total_str_landed_avg_overall_diff,total_str_accuracy_avg_overall_diff,sig_str_attempts_avg_last3_diff,sig_str_landed_avg_last3_diff,sig_str_accuracy_avg_last3_diff,sig_str_attempts_avg_last5_diff,sig_str_landed_avg_last5_diff,sig_str_accuracy_avg_last5_diff,sig_str_attempts_avg_overall_diff,sig_str_landed_avg_overall_diff,sig_str_accuracy_avg_overall_diff,kd_avg_last3_diff,kd_avg_last5_diff,kd_avg_overall_diff,sub_att_avg_last3_diff,sub_att_avg_last5_diff,sub_att_avg_overall_diff,winrate_advanced_last3_diff,winrate_advanced_last5_diff,winrate_advanced_last7_diff,winrate_advanced_overall_diff,target
2020-10-03,0005e00b07cee542,-1,1,2352,5,Bantamweight,Southpaw_vs_Orthodox,2,3,-0.05392156862745101,-0.33333333333333337,0.0,2.3333333333333144,85.39999999999998,-1,-7.666666666666666,-5.666666666666666,-0.23152337858220212,-12.4,-5.0,-0.11563360386889798,3.563725490196081,2.75,-0.022470240900528404,7.666666666666667,6.333333333333334,-0.16666666666666663,3.8,2.9999999999999996,-0.08253968253968247,0.2450980392156863,0.6470588235294121,0.06456721513929742,-118.66666666666666,-40.333333333333336,0.17218937863254263,-132.20000000000002,-36.599999999999994,0.26507311063392425,-70.19117647058823,-34.36274509803921,0.04208016432547751,-1.3333333333333333,-1.3333333333333333,-1.0,4.4,3.2,-0.23076923076923073,-0.715686274509804,-0.7549019607843135,-0.22435897435897434,-101.66666666666667,-26.0,0.22858660404785863,-106.39999999999999,-22.4,0.30995924851474,-70.08333333333334,-32.28921568627452,0.020337066489082345,-3.0,-3.666666666666668,-0.12253487253487261,-5.199999999999999,-3.0,0.04203463203463198,-4.142156862745097,-4.93137254901961,-0.08874201653449854,2.0,0.0,0.0,2.8,0.8,0.16666666666666666,1.1127450980392155,0.24509803921568626,0.125,-67.33333333333333,-1.0,0.32261484048131833,-85.0,0.7999999999999972,0.3765440174109628,-60.19117647058823,-26.318627450980387,0.07637110138719577,-112.33333333333334,-35.33333333333333,0.2152288265418661,-124.0,-30.400000000000002,0.30563104100429034,-70.66176470588235,-34.470588235294116,0.05388872435682124,-0.6666666666666666,-0.4,-0.04901960784313725,0.0,0.2,-0.024509803921568624,-34.93333333333333,-34.099999999999994,-40.25666666666666,-35.43333333333333,1
2014-12-13,002921976d27b7da,7,4,-2833,7,Heavyweight,Orthodox_vs_Orthodox,5,2,0.06944444444444442,0.0,0.39999999999999997,531.3333333333334,433.6,0,-6.0,-6.666666666666667,-0.09523809523809523,-12.4,-12.0,-0.09705069124423948,-9.520833333333334,-9.097222222222221,-0.09179953857373213,-2.3333333333333335,-3.3333333333333335,-1.0,-12.600000000000001,-10.6,-0.8987714987714988,-11.194444444444445,-9.11111111111111,-0.28906108906108896,61.0,16.333333333333332,-0.4715329703569267,54.0,17.4,-0.3045256802752266,22.444444444444443,5.729166666666666,-0.29229991859374543,-10.0,-12.0,-0.5416666666666667,-14.000000000000002,-13.200000000000001,-0.449915824915825,-13.875,-10.229166666666666,0.003550814265099844,55.33333333333334,9.666666666666664,-0.47661227661227673,38.8,5.399999999999999,-0.3537265366212735,4.243055555555557,-6.416666666666668,-0.31669678733766776,-0.6666666666666661,-2.0,-0.44444444444444453,1.0,0.20000000000000018,-0.33333333333333337,2.6527777777777777,1.9027777777777777,-0.1890103076803844,-0.6666666666666666,0.0,0.0,-0.8,-0.2,-0.25,-0.3055555555555556,-0.03472222222222221,0.35,53.66666666666667,-3.3333333333333286,-0.45976082728464396,24.599999999999994,-14.399999999999999,-0.3772485596168691,-4.638888888888886,-17.743055555555557,-0.29499958374085566,48.666666666666664,1.0,-0.5269564440506604,27.4,-6.399999999999999,-0.4146636169814183,-2.625,-13.611111111111114,-0.3099378993687511,-0.3333333333333333,-0.6,-0.3194444444444444,0.6666666666666666,0.6,1.25,13.511111111111113,63.605555555555554,64.90555555555555,39.14,0
2013-04-20,004885f7983f4658,0,2,3195,11,Welterweight,Orthodox_vs_Orthodox,7,4,0.025000000000000022,0.33333333333333337,0.4,5.0,-47.39999999999998,3,6.333333333333334,7.333333333333332,0.11192511192511179,6.6,6.3999999999999995,0.016478375425743597,7.2875,6.3625,-0.00046204891599643805,10.0,10.0,0.2949039264828738,5.999999999999999,5.799999999999999,0.23722929117665947,4.3625,3.9749999999999996,0.20429479146584406,-49.333333333333336,-20.0,0.06799555786919464,-42.6,-13.399999999999999,0.1347886559033264,-55.2625,-18.0625,0.16527887675754566,4.666666666666667,4.333333333333333,0.32539682539682535,6.0,5.6,0.32539682539682535,5.775,4.5625,0.16965256965256958,-41.666666666666664,-14.666666666666664,0.07329248468776306,-38.8,-10.800000000000004,0.11962118620349732,-52.05,-15.825000000000003,0.10585854757395624,0.666666666666667,1.666666666666667,0.2516042780748662,1.6000000000000005,2.4000000000000004,0.2415364047716988,-0.3624999999999998,-0.0625,0.10320307143836538,5.333333333333334,2.0,0.4615384615384615,6.199999999999999,2.4,0.4205128205128205,2.5375,1.3125,0.5655818540433925,-21.66666666666667,2.0,0.10292953101071511,-22.0,0.4000000000000057,0.09071118995426675,-43.55,-11.174999999999997,0.119973923784089,-34.66666666666667,-5.666666666666671,0.16234526542644945,-30.599999999999994,-2.0,0.1924762717193484,-45.125,-9.524999999999999,0.2118564207876879,0.0,0.2,0.175,1.0,0.8,1.25,15.45,27.744444444444444,23.264444444444447,32.18555555555557,1
2023-03-04,009feda296ae589c,0,-2,-2470,-2,Flyweight,Orthodox_vs_Orthodox,0,-2,0.09230769230769231,0.0,0.0,167.99999999999997,162.40000000000003,0,5.0,-4.0,-0.3476613965744401,0.1999999999999993,-5.6,-0.21275044296033807,1.4923076923076941,-1.2974358974358964,-0.08028809829674077,6.0,3.3333333333333335,0.5079365079365079,4.2,2.2,0.30476190476190473,2.2512820512820517,1.7641025641025643,0.18600288600288617,-16.333333333333343,-32.666666666666664,-0.1455969582203822,-12.799999999999983,-25.60000000000001,-0.16136072799590578,-43.0,-33.11282051282051,-0.07525562167533523,-1.666666666666667,-1.6666666666666665,-0.34615384615384615,-2.4,-1.8,-0.26923076923076916,5.917948717948718,4.6923076923076925,-0.0805490805490805,-30.333333333333314,-38.666666666666664,-0.17256150898007844,-20.599999999999994,-27.6,-0.15404605340126448,-38.400000000000006,-27.292307692307695,-0.006826320966210664,13.333333333333336,11.666666666666664,-0.01789321789321785,9.399999999999999,8.0,-0.1240692640692641,2.0769230769230766,1.9333333333333336,-0.021312021312021368,-2.666666666666667,0.0,0.06666666666666665,-2.0,-0.40000000000000013,0.09333333333333332,-1.312820512820513,-0.5282051282051283,0.12874236874236877,-18.333333333333343,-33.33333333333333,-0.11667863726687261,-24.600000000000023,-33.2,-0.08476103531831092,-23.753846153846155,-15.256410256410248,0.04784462895706254,-12.0,-31.0,-0.13988212107447678,-11.0,-25.199999999999996,-0.13707373048640165,-34.83076923076922,-26.656410256410254,-0.019162245509846798,0.0,0.0,-0.06666666666666667,-0.3333333333333333,-0.6,0.23589743589743595,3.0,-4.033333333333333,-5.693333333333333,10.36888888888889,1
2018-12-08,00b1e95f6aea7027,3,2,-885,-2,Flyweight,Orthodox_vs_Orthodox,4,-6,0.5050505050505051,0.0,0.4,-27.666666666666686,-142.2,2,-7.0,-2.666666666666666,0.17725178047758705,15.8,8.8,-0.08188422583109489,12.414141414141415,6.787878787878788,0.05176706068546677,1.3333333333333335,1.3333333333333335,0.0,4.800000000000001,2.8,-0.19999999999999996,-1.6161616161616168,-1.4141414141414144,-0.009004884004883973,60.0,16.666666666666664,-0.039846972467401764,132.0,46.4,-0.028338667858024136,88.58585858585859,22.888888888888886,-0.10534456622187843,-9.0,-7.0,-0.7954545454545454,-5.8,-4.6,-0.8772727272727273,-2.6969696969696972,-2.3737373737373737,-0.2456709956709957,60.66666666666666,13.666666666666664,-0.06244323275636002,102.39999999999999,24.6,-0.05584431803219439,66.12121212121211,7.202020202020204,-0.14072485262860113,-1.333333333333333,0.0,0.16666666666666663,12.8,11.2,0.03513513513513511,5.737373737373737,5.111111111111111,0.026823326823326887,-2.333333333333333,-1.6666666666666667,-0.5833333333333334,2.9999999999999996,-1.0,-0.5833333333333334,1.8686868686868685,-0.6363636363636364,-0.75,37.0,-2.0,-0.12136137555729931,118.20000000000002,33.60000000000001,-0.1416017115516402,75.7070707070707,11.333333333333329,-0.16516271598574234,52.333333333333314,11.0,-0.07401899373610826,131.0,44.60000000000001,-0.057231909062177844,84.27272727272727,19.101010101010104,-0.12736509007577856,0.0,0.0,0.2222222222222222,-1.6666666666666667,-1.0,-0.6161616161616161,1.5,22.5,25.5,58.5,0
2021-04-24,00bbcd4a6d647fdf,-2,-2,-2778,-18,Light Heavyweight,Orthodox_vs_Orthodox,-8,-10,0.22857142857142865,0.33333333333333337,0.4,90.99999999999997,140.8,2,0.6666666666666667,0.6666666666666666,0.6666666666666666,-5.3999999999999995,-2.5999999999999996,0.41720430107526885,-8.957142857142857,-5.285714285714286,0.11740178729496342,0.6666666666666666,0.3333333333333333,0.16666666666666663,0.40000000000000013,0.6,0.15999999999999998,-3.5785714285714287,-2.7142857142857144,-0.06257631257631258,10.0,8.0,0.4126984126984126,-36.0,-12.599999999999998,0.2789779326364692,-50.85,-21.985714285714284,0.020362846123965106,-1.6666666666666667,0.0,0.5333333333333334,3.4000000000000004,2.5999999999999996,0.4018518518518518,9.757142857142858,5.507142857142858,-0.040416666666666656,3.666666666666666,3.6666666666666665,0.2053571428571428,-27.200000000000003,-7.2,0.15932444748234215,-33.114285714285714,-11.492857142857142,0.03720066801635585,4.666666666666667,4.0,-0.11111111111111116,0.3999999999999999,0.40000000000000036,-0.02777777777777779,-2.6,-2.4142857142857146,-0.1642474997881176,2.666666666666667,2.0,-0.39999999999999997,2.6000000000000005,2.6,-0.06666666666666665,1.114285714285714,1.4428571428571428,0.3555555555555555,1.3333333333333321,0.33333333333333215,0.08350013672409073,-38.599999999999994,-17.0,0.054569136815240116,-37.807142857142864,-14.392857142857146,0.07156926025676225,9.000000000000002,8.333333333333334,0.24603174603174605,-32.2,-9.399999999999999,0.14999999999999997,-44.67142857142857,-19.192857142857147,0.01709052173650427,1.3333333333333333,0.8,0.3142857142857143,-0.3333333333333333,0.0,0.5,22.548000000000002,39.37466666666668,44.012666666666675,1.204888888888874,0
2017-03-18,00be3852000f8fe9,-2,0,3504,0,Light Heavyweight,Orthodox_vs_Orthodox,0,0,0.0,0.3333333333333333,0.0,55.66666666666666,111.80000000000001,1,-1.666666666666667,-1.333333333333333,-0.3006993006993006,-2.799999999999999,-2.6000000000000005,-0.3426293706293706,-3.7272727272727284,-1.9999999999999991,-0.06687698664971387,-3.0,0.6666666666666661,0.08809523809523812,-4.6,-0.40000000000000036,0.13855694001738628,-2.3636363636363633,1.545454545454545,0.18706623081162088,-52.66666666666666,-13.0,0.15358187134502932,-61.2,-17.0,0.10147253821585861,-74.18181818181819,-22.818181818181817,0.10963603837900954,-32.66666666666667,-22.333333333333332,-0.7210144927536232,-23.400000000000002,-16.2,-0.7354658385093169,-24.636363636363637,-18.636363636363637,-0.45181892093744397,-90.66666666666667,-37.0,-0.0692773892773893,-89.80000000000001,-33.599999999999994,-0.0849020831574624,-104.36363636363635,-44.18181818181819,-0.10992749429382281,4.0,3.666666666666666,-0.04166666666666663,3.3999999999999995,2.5999999999999996,-0.07461538461538475,6.909090909090909,6.2727272727272725,0.06109282873988742,-5.0,-4.333333333333333,-0.6666666666666666,-6.4,-4.0,-0.53,-4.909090909090908,-3.090909090909091,-0.395920745920746,-136.33333333333334,-77.33333333333333,-0.004466523451485793,-124.39999999999999,-63.800000000000004,0.008306560735808044,-134.27272727272728,-67.72727272727272,0.030340372284470174,-88.33333333333333,-34.666666666666664,0.10794132645169535,-89.19999999999999,-33.6,0.08331713222844567,-101.18181818181819,-39.909090909090914,0.07563938616557797,0.6666666666666666,0.4,0.2727272727272727,0.6666666666666666,0.4,0.2727272727272727,8.266666666666667,-10.91111111111111,-30.651111111111113,-7.813333333333333,1
2024-12-14,00c6a2ef07ca51da,-1,4,-2256,-5,Welterweight,Southpaw_vs_Orthodox,-5,0,-0.06734006734006737,0.6666666666666667,0.6,-462.0,-603.4,8,2.333333333333332,2.999999999999999,0.08562091503267955,-3.200000000000001,-2.1999999999999993,-0.0280213903743316,3.464646464646467,1.4898989898989896,-0.06764337804039477,2.6666666666666665,1.3333333333333335,0.3055555555555556,-1.4,-1.6,0.08412698412698416,-6.639730639730639,-5.01010101010101,-0.08675335564847952,-65.33333333333333,-26.666666666666668,-0.038274390243902445,-96.00000000000001,-40.4,-0.06343726188356774,-70.53367003367003,-28.949494949494948,-0.07287980392091714,25.666666666666664,15.999999999999998,-0.20097198399085192,31.2,18.2,-0.18075635056767136,4.186868686868687,1.5151515151515147,-0.06397146243425911,-23.0,-2.6666666666666714,0.06449031754180556,-55.400000000000006,-17.4,0.034983881695157315,-68.41750841750842,-26.924242424242426,-0.1614742926798231,-16.333333333333332,-9.666666666666666,0.03968253968253954,-7.6000000000000005,-4.199999999999999,-0.031746031746031855,-8.033670033670033,-7.0101010101010095,-0.052858490821765414,-5.666666666666666,0.6666666666666665,0.44761904761904764,-8.6,-0.8000000000000003,0.47428571428571425,-7.23063973063973,-3.043771043771044,-0.03591523565948107,-101.66666666666666,-71.00000000000001,-0.07474424645670619,-131.39999999999998,-84.8,-0.0762416137939465,-128.51683501683502,-80.8838383838384,-0.2158166877326601,-37.0,-9.333333333333329,0.03879681900866305,-66.2,-23.799999999999997,0.0215281007645568,-72.986531986532,-32.44444444444444,-0.13630422264494174,1.0,0.6,0.4175084175084175,-0.3333333333333333,-0.4,-0.1111111111111111,33.81111111111111,58.288888888888884,65.55222222222223,-23.48666666666665,1
2019-07-06,00f4b6184f6315d0,-2,0,3013,8,Bantamweight,Orthodox_vs_Orthodox,4,4,-0.3076923076923077,-0.6666666666666667,-0.4,-72.33333333333331,-75.59999999999997,-5,-5.333333333333332,-4.333333333333333,-0.06023606023606032,-3.4000000000000004,-1.799999999999999,0.10378510378510386,-6.6923076923076925,-3.7384615384615376,0.18423798423798432,3.0,-0.33333333333333304,-0.5166666666666666,2.8,0.20000000000000018,-0.42499999999999993,2.3538461538461544,0.2153846153846155,-0.40746753246753237,11.666666666666657,-14.666666666666664,-0.08759926307096122,49.80000000000001,5.199999999999996,-0.01501664166963601,10.784615384615392,-3.6769230769230816,-0.010928962258410613,-10.666666666666666,-5.666666666666666,0.38125,-13.2,-7.800000000000001,0.39749999999999996,-7.661538461538461,-4.415384615384616,0.13030423280423287,5.0,-20.666666666666668,-0.17608372209834164,37.60000000000001,-5.400000000000002,-0.11386057886689882,5.200000000000003,-8.676923076923078,-0.08526307211142692,4.333333333333332,4.333333333333332,0.06388888888888877,5.199999999999999,4.800000000000001,0.11869963369963366,6.969230769230769,4.538461538461538,0.03622462517719427,0.33333333333333326,-1.0,-0.6666666666666667,0.6000000000000001,-0.7999999999999999,-0.8,0.8769230769230771,-0.8153846153846154,-0.8181818181818181,-12.333333333333343,-35.00000000000001,-0.16781244464761386,26.799999999999983,-13.600000000000009,-0.11061863656271514,-5.7846153846153925,-17.400000000000006,-0.09232462322214924,4.0,-20.66666666666667,-0.12775171644923283,39.400000000000006,-2.3999999999999986,-0.07229073338226938,5.476923076923086,-7.876923076923077,-0.05264059266055221,-0.3333333333333333,-0.6,-0.6,-0.3333333333333333,-0.6,-0.523076923076923,-29.672222222222224,-34.10666666666667,-22.10666666666667,-2.504444444444445,0
2021-05-08,00fbeda449926c13,2,-1,-1511,0,Middleweight,Southpaw_vs_Orthodox,-2,2,-0.5,-0.33333333333333337,-0.5,100.33333333333333,93.5,-2,1.666666666666667,1.0,-0.059259259259259345,2.0,1.25,0.0037037037037037646,2.0,1.25,0.0037037037037037646,5.000000000000001,5.333333333333333,0.13487819370172305,4.5,4.5,0.10873440285204983,4.5,4.5,0.10873440285204983,37.33333333333333,14.666666666666668,-0.07127295362589486,32.0,13.25,-0.049319376873556475,32.0,13.25,-0.049319376873556475,18.666666666666668,11.0,-0.3833333333333333,18.0,10.75,-0.3125,18.0,10.75,-0.3125,66.66666666666667,36.0,0.03418771540213661,60.0,33.0,0.054161285660336844,60.0,33.0,0.054161285660336844,-7.333333333333334,-6.0,-0.11904761904761907,-7.5,-5.75,-0.0071428571428571175,-7.5,-5.75,-0.0071428571428571175,1.666666666666666,-0.33333333333333304,-0.18095238095238098,2.5,0.5,-0.12857142857142856,2.5,0.5,-0.12857142857142856,75.33333333333334,36.33333333333333,-0.08503550331637011,82.5,47.0,-0.023978613108640023,82.5,47.0,-0.023978613108640023,61.00000000000001,31.0,-0.049708186697069445,54.5,28.5,-0.0320337637109579,54.5,28.5,-0.0320337637109579,-0.3333333333333333,-0.5,-0.5,0.6666666666666666,0.5,0.5,-17.9,-38.46666666666667,-38.46666666666667,-38.46666666666667,0
