iter	Logloss
0	0.6914270432
1	0.6897827686
2	0.6881083798
3	0.6867221677
4	0.6851852649
5	0.6838472117
6	0.682442716
7	0.6812325289
8	0.6799931239
9	0.6787119533
10	0.6773164201
11	0.6759757379
12	0.6747859856
13	0.6737230238
14	0.6725753358
15	0.6715267142
16	0.6705228457
17	0.6693621321
18	0.6682951073
19	0.6671529164
20	0.6662530138
21	0.6652881027
22	0.6644553597
23	0.6635104052
24	0.6625926372
25	0.6617135876
26	0.6609637185
27	0.6600316104
28	0.6590984268
29	0.6581963732
30	0.657425472
31	0.6566735117
32	0.6558925126
33	0.6550428602
34	0.6543810635
35	0.6537233895
36	0.6529021186
37	0.6523359824
38	0.6515093937
39	0.6508054131
40	0.6501507864
41	0.6494983107
42	0.6489360583
43	0.6483973477
44	0.6477862791
45	0.6472037713
46	0.6465851144
47	0.6459486518
48	0.645451647
49	0.6448781615
50	0.6444057739
51	0.6439296818
52	0.6433080374
53	0.6426860344
54	0.6421641734
55	0.6417001509
56	0.6411969917
57	0.6408136324
58	0.6403458456
59	0.6398807475
60	0.639535987
61	0.6391480866
62	0.6387391541
63	0.6382378472
64	0.637784042
65	0.6373693734
66	0.6368944165
67	0.6364993461
68	0.636083841
69	0.6356984501
70	0.6353897789
71	0.6349942305
72	0.6346433754
73	0.6342802118
74	0.6339282812
75	0.6335534662
76	0.6331970543
77	0.6328057482
78	0.6324499338
79	0.6321141957
80	0.6318185501
81	0.6314541317
82	0.6311179753
83	0.6309042476
84	0.6305649842
85	0.6302709519
86	0.6299632367
87	0.6296298288
88	0.6292972574
89	0.6290751647
90	0.6287845979
91	0.6284645144
92	0.6282097979
93	0.627903696
94	0.6276830971
95	0.6273963544
96	0.6271144514
97	0.6268997678
98	0.6265896028
99	0.6263140932
100	0.6261101049
101	0.6258530582
102	0.6256022852
103	0.6253518111
104	0.6251282246
105	0.6248576743
106	0.6245932782
107	0.6243560089
108	0.6241074467
109	0.6238582871
110	0.6236792745
111	0.6234528798
112	0.6231670333
113	0.622928091
114	0.6227211152
115	0.6225536942
116	0.6223598635
117	0.6221789389
118	0.6220283676
119	0.6217715599
120	0.6215340516
121	0.6213172169
122	0.6211313331
123	0.6208874315
124	0.620694975
125	0.6205371142
126	0.6204031535
127	0.6202218107
128	0.6200186589
129	0.6197835406
130	0.6196488032
131	0.6194089646
132	0.6192796047
133	0.619082906
134	0.6189552191
135	0.6187808074
136	0.6185465256
137	0.6184353299
138	0.6183096745
139	0.6181243882
140	0.6179094058
141	0.6177075685
142	0.6174896584
143	0.6173404613
144	0.6172191678
145	0.6170272491
146	0.6168850429
147	0.6166930047
148	0.616554981
149	0.6164035134
150	0.6162820406
151	0.6161597911
152	0.6159553845
153	0.6157965079
154	0.6156093693
155	0.6154414703
156	0.6153234033
157	0.6151414032
158	0.6149936402
159	0.6148234707
160	0.6146976958
161	0.6145833333
162	0.6144442341
163	0.6143379977
164	0.6142184967
165	0.6140899135
166	0.6139633022
167	0.6138023343
168	0.613684327
169	0.6135508443
170	0.6133130373
171	0.6131597772
172	0.6130438014
173	0.6129597922
174	0.6128047396
175	0.6126507028
176	0.6125705773
177	0.6124440257
178	0.6123025962
179	0.6120928122
180	0.6119206709
181	0.6117426741
182	0.611589414
183	0.6114841934
184	0.6113968381
185	0.6112958597
186	0.6111299923
187	0.6110511216
188	0.6108948142
189	0.6107992134
190	0.6106848509
191	0.6105287825
192	0.6104601292
193	0.610355028
194	0.6102320615
195	0.6101182367
196	0.6100135538
197	0.6099538033
198	0.6098152418
199	0.6096254742
200	0.6094798024
201	0.6094038595
202	0.6093132777
203	0.6092353033
204	0.6091544011
205	0.6090831187
206	0.6089411515
207	0.6088784134
208	0.6087761803
209	0.6086527357
210	0.6084916483
211	0.608397601
212	0.6083288281
213	0.6082133304
214	0.6080750079
215	0.6079572397
216	0.6078444307
217	0.6077442888
218	0.607647732
219	0.6075471718
220	0.6074198435
221	0.6072643726
222	0.6071892662
223	0.6070884671
224	0.6069475754
225	0.6068519745
226	0.6066970414
227	0.6065849495
228	0.6064849868
229	0.6064299566
230	0.6063298745
231	0.6062115087
232	0.6061321003
233	0.6060563964
234	0.6059395243
235	0.605843565
236	0.6057474862
237	0.6056861224
238	0.6056545741
239	0.6055678164
240	0.6054762786
241	0.6053859955
242	0.6052624912
243	0.6051891773
244	0.6051150269
245	0.6050284484
246	0.6049174917
247	0.6048626407
248	0.6047853833
249	0.604720315
250	0.604636007
251	0.6045720142
252	0.6044951153
253	0.6044219209
254	0.6043294271
255	0.6042080738
256	0.6041081709
257	0.6040349765
258	0.603971402
259	0.6038881097
260	0.6038195161
261	0.6037487118
262	0.6037108897
263	0.6035884011
264	0.6034901115
265	0.60339947
266	0.6033349992
267	0.6032760254
268	0.6031916577
269	0.6031005979
270	0.6029946005
271	0.6029040187
272	0.6028475544
273	0.6028210252
274	0.6027735235
275	0.6027177166
276	0.6026416541
277	0.6025535819
278	0.602486243
279	0.6024231465
280	0.6023237216
281	0.6022081044
282	0.6021534924
283	0.6020991194
284	0.6020214437
285	0.6019269184
286	0.6018594601
287	0.6018020996
288	0.6017229301
289	0.6016647929
290	0.6015727771
291	0.6014818368
292	0.6014129444
293	0.6013457251
294	0.6012715747
295	0.6012004716
296	0.6011289502
297	0.6010708727
298	0.6010260598
299	0.6009576455
300	0.6008845706
301	0.6008321096
302	0.6007507294
303	0.6006778338
304	0.600582711
305	0.6005062303
306	0.6004129
307	0.6003489669
308	0.6002992545
309	0.6002151258
310	0.6001609918
311	0.6001164179
312	0.6000132885
313	0.5999346568
314	0.5998616417
315	0.5997852805
316	0.5997330586
317	0.5996765346
318	0.5996240139
319	0.5995829653
320	0.5995228562
321	0.5994800749
322	0.5993891346
323	0.5993565108
324	0.5993102041
325	0.5992346795
326	0.5991567051
327	0.5990994641
328	0.5990370248
329	0.5989721357
330	0.5988991206
331	0.5988238947
332	0.5987698802
333	0.5986586845
334	0.5985700745
335	0.5985060816
336	0.5984340823
337	0.5984052825
338	0.5983546141
339	0.5983089049
340	0.5982582962
341	0.598203744
342	0.5981387354
343	0.5980941616
344	0.5980446284
345	0.5979636067
346	0.5979077997
347	0.597859581
348	0.5978130354
349	0.597765713
350	0.597718749
351	0.5976287648
352	0.5975797693
353	0.5974918763
354	0.5974007568
355	0.5973371822
356	0.5972964921
357	0.597249827
358	0.5971861329
359	0.5971202878
360	0.5970619713
361	0.5969868052
362	0.5969290862
363	0.5968598951
364	0.5968179502
365	0.5967805464
366	0.5967241419
367	0.5966770585
368	0.5966006973
369	0.5965434563
370	0.5964802403
371	0.5964437924
372	0.596391929
373	0.5963067845
374	0.5962647201
375	0.5961718081
376	0.5961281902
377	0.5960917424
378	0.5960426275
379	0.5959576622
380	0.595900003
381	0.5958297961
382	0.5957609635
383	0.5957245754
384	0.5956732497
385	0.5956225813
386	0.5955849982
387	0.595530446
388	0.5954674092
389	0.5953834597
390	0.5953418136
391	0.5952506941
392	0.5951904655
393	0.5951071733
394	0.5950560269
395	0.5949607845
396	0.594926428
397	0.5948547274
398	0.5947958731
399	0.594729311
400	0.594667529
401	0.5946277949
402	0.5945972026
403	0.5945350621
404	0.5944846326
405	0.5944325899
406	0.5943901073
407	0.5943404546
408	0.5942393568
409	0.5941886883
410	0.594156184
411	0.5940899805
412	0.5940432556
413	0.5939867316
414	0.5939504032
415	0.5938923855
416	0.5938552207
417	0.5938205056
418	0.5937801143
419	0.5937130742
420	0.5936918627
421	0.5936500971
422	0.5935903466
423	0.5935392002
424	0.5935104004
425	0.5934525022
426	0.593399623
427	0.593351225
428	0.5933226643
429	0.5932733104
430	0.5932173839
431	0.5931747817
432	0.5931249498
433	0.5929912879
434	0.5929402012
435	0.5928888755
436	0.5928256595
437	0.5927868216
438	0.5927506128
439	0.5927016174
440	0.5926462286
441	0.5926045825
442	0.5925447125
443	0.5924718169
444	0.5924219849
445	0.5923621747
446	0.59228904
447	0.5922271385
448	0.5921565731
449	0.5921137918
450	0.5920620478
451	0.5920079138
452	0.5919554529
453	0.5919080707
454	0.5918689341
455	0.5918367286
456	0.5917969945
457	0.5917413668
458	0.5916762985
459	0.5916388946
460	0.5916086609
461	0.5915538099
462	0.5914913706
463	0.5914608381
464	0.5914150692
465	0.5913834014
466	0.5913439661
467	0.591281945
468	0.5912340251
469	0.5911936337
470	0.5911238451
471	0.5910820198
472	0.5910461695
473	0.5910202975
474	0.5909723178
475	0.590876478
476	0.5908480367
477	0.5907980256
478	0.5907184976
479	0.5906123807
480	0.5905281922
481	0.5904869643
482	0.590448963
483	0.5903638185
484	0.5903187666
485	0.5902648119
486	0.5902032091
487	0.5901594717
488	0.5901120896
489	0.5900526378
490	0.5900047179
491	0.58995871
492	0.5899212464
493	0.5898699207
494	0.589787226
495	0.5897366771
496	0.5896872036
497	0.5896385667
498	0.5895802502
499	0.5895436231
500	0.589497197
501	0.5894403742
502	0.5893917971
503	0.5893591733
504	0.5893248167
505	0.5892944037
506	0.5892320839
507	0.5891844628
508	0.5891554838
509	0.5891091771
510	0.5890614962
511	0.5890152493
512	0.5889387089
513	0.5889081764
514	0.5888701153
515	0.5888290069
516	0.5887984744
517	0.588757127
518	0.5887056818
519	0.588635714
520	0.5885958006
521	0.5885353331
522	0.5885036056
523	0.5884546102
524	0.5884141591
525	0.5883674342
526	0.5883160487
527	0.5882558202
528	0.5882116048
529	0.588173006
530	0.5881166015
531	0.5880509356
532	0.5879944714
533	0.5879508535
534	0.587893732
535	0.5878596742
536	0.5877962192
537	0.5877558278
538	0.5876988258
539	0.5876731929
540	0.5876211502
541	0.5875827306
542	0.5875427575
543	0.5874723714
544	0.5874271402
545	0.5873785033
546	0.5873427725
547	0.5872865472
548	0.5872618105
549	0.5872070193
550	0.5871706312
551	0.5871247428
552	0.5870731184
553	0.587026752
554	0.5870046443
555	0.58696736
556	0.5869341984
557	0.5868769574
558	0.5868408084
559	0.5867952785
560	0.5867502266
561	0.5867011116
562	0.586661258
563	0.586624631
564	0.5865614149
565	0.5865210236
566	0.586477824
567	0.5864344451
568	0.586396384
569	0.5863685403
570	0.5863228311
571	0.5862839933
572	0.586250533
573	0.5861912007
574	0.586163118
575	0.5861233241
576	0.5860836498
577	0.5860445132
578	0.5859670765
579	0.5859326005
580	0.585875718
581	0.5858162064
582	0.585760997
583	0.5856762707
584	0.5856369549
585	0.5856088721
586	0.5855562319
587	0.5854892516
588	0.585425916
589	0.5853600112
590	0.5853086855
591	0.5852400322
592	0.5851988641
593	0.5851643283
594	0.5851262074
595	0.5850830676
596	0.5850445285
597	0.5850200308
598	0.5849769506
599	0.5849404431
600	0.5848855323
601	0.5848248258
602	0.5847789374
603	0.5847378888
604	0.5846860851
605	0.5846342814
606	0.5845887515
607	0.5845472249
608	0.5844978112
609	0.5844440358
610	0.5843916943
611	0.5843606838
612	0.5843238177
613	0.5842822911
614	0.5842396292
615	0.5841687054
616	0.5841096718
617	0.5840379115
618	0.58398796
619	0.5839365148
620	0.5839077748
621	0.5838425273
622	0.5837891103
623	0.5837485994
624	0.5837220702
625	0.5836728358
626	0.5836025692
627	0.583548256
628	0.5834549256
629	0.5833963104
630	0.583348749
631	0.5833103294
632	0.5832790201
633	0.5832175368
634	0.5831587423
635	0.5831319741
636	0.5830827397
637	0.5830439018
638	0.5830008814
639	0.5829620436
640	0.5828908807
641	0.5828438571
642	0.5827988052
643	0.5827006948
644	0.58266353
645	0.5826203901
646	0.5825917099
647	0.5825463592
648	0.5825085372
649	0.5824560762
650	0.5823838378
651	0.5823413552
652	0.5822903283
653	0.5822356565
654	0.5822013
655	0.5821400557
656	0.5821140642
657	0.5820623203
658	0.5819902611
659	0.5819315861
660	0.5818809177
661	0.5818433944
662	0.5817920687
663	0.5817159465
664	0.5816860712
665	0.5816404816
666	0.5815942944
667	0.581537651
668	0.581483039
669	0.5814499969
670	0.5814098446
671	0.5813461505
672	0.581287595
673	0.5812243192
674	0.5811725753
675	0.5811196961
676	0.5810599455
677	0.5809957735
678	0.5809240729
679	0.5808848168
680	0.5808354031
681	0.5807805521
682	0.5807282704
683	0.5806943919
684	0.580655076
685	0.580593055
686	0.5805434023
