iter	Passed	Remaining
426	1767	6510
427	1771	6507
428	1775	6500
429	1778	6492
430	1782	6489
431	1785	6481
432	1788	6473
433	1793	6470
434	1796	6461
435	1799	6453
436	1803	6450
437	1806	6442
438	1809	6435
439	1814	6432
440	1817	6425
441	1820	6418
442	1825	6415
443	1842	6455
444	1845	6447
445	1849	6444
446	1852	6436
447	1856	6431
448	1860	6428
449	1863	6420
450	1867	6412
451	1871	6409
452	1874	6401
453	1877	6393
454	1882	6390
455	1885	6383
456	1888	6376
457	1892	6372
458	1895	6364
459	1904	6376
460	1909	6373
461	1912	6365
462	1915	6357
463	1920	6358
464	1924	6351
465	1927	6345
466	1931	6341
467	1935	6334
468	1938	6327
469	1942	6324
470	1946	6317
471	1949	6310
472	1953	6308
473	1957	6301
474	1960	6293
475	1965	6291
476	1968	6285
477	1971	6278
478	1976	6275
479	1979	6268
480	1982	6262
481	1987	6259
482	1990	6252
483	1993	6245
484	1998	6242
485	2001	6235
486	2004	6227
487	2008	6224
488	2011	6216
489	2014	6209
490	2019	6206
491	2022	6198
492	2025	6190
493	2029	6187
494	2032	6181
495	2036	6174
496	2040	6172
497	2044	6165
498	2047	6158
499	2051	6154
500	2054	6146
501	2074	6189
502	2079	6188
503	2082	6181
504	2085	6174
505	2090	6172
506	2093	6164
507	2096	6157
508	2099	6150
509	2104	6148
510	2107	6141
511	2110	6134
512	2115	6131
513	2118	6124
514	2121	6116
515	2125	6112
516	2128	6105
517	2131	6099
518	2136	6096
519	2139	6089
520	2142	6083
521	2147	6080
522	2150	6073
523	2153	6066
524	2158	6063
525	2161	6056
526	2164	6049
527	2168	6046
528	2171	6039
529	2174	6032
530	2179	6029
531	2182	6022
532	2185	6015
533	2190	6012
534	2193	6005
535	2196	5998
536	2200	5995
537	2203	5988
538	2206	5981
539	2211	5978
540	2214	5971
541	2228	5994
542	2232	5990
543	2235	5983
544	2238	5976
545	2242	5972
546	2246	5966
547	2249	5960
548	2254	5957
549	2257	5950
550	2260	5943
551	2264	5940
552	2267	5934
553	2271	5927
554	2275	5924
555	2278	5918
556	2282	5911
557	2289	5915
558	2292	5908
559	2295	5901
560	2299	5898
561	2302	5892
562	2305	5885
563	2310	5882
564	2313	5875
565	2316	5868
566	2320	5865
567	2324	5859
568	2327	5852
569	2331	5849
570	2334	5843
571	2338	5837
572	2342	5833
573	2345	5826
574	2348	5820
575	2353	5818
576	2357	5813
577	2360	5807
578	2365	5804
579	2368	5798
580	2371	5792
581	2376	5788
582	2379	5782
583	2382	5776
584	2386	5773
585	2390	5767
586	2393	5760
587	2397	5757
588	2400	5750
589	2403	5744
590	2408	5740
591	2411	5734
592	2414	5728
593	2418	5725
594	2421	5718
595	2424	5712
596	2429	5709
597	2432	5703
598	2435	5696
599	2440	5693
600	2443	5687
601	2446	5681
602	2450	5678
603	2454	5672
604	2457	5666
605	2462	5664
606	2465	5658
607	2469	5652
608	2473	5649
609	2477	5644
610	2480	5638
611	2484	5635
612	2488	5629
613	2491	5624
614	2496	5621
615	2499	5615
616	2502	5609
617	2506	5605
618	2509	5599
619	2513	5594
620	2517	5590
621	2520	5584
622	2524	5578
623	2528	5576
624	2531	5569
625	2534	5563
626	2539	5560
627	2542	5554
628	2545	5548
629	2550	5545
630	2553	5539
631	2556	5533
632	2561	5530
633	2564	5525
634	2567	5519
635	2572	5516
636	2575	5510
637	2578	5504
638	2582	5501
639	2586	5495
640	2589	5489
641	2593	5486
642	2597	5481
643	2600	5475
644	2604	5472
645	2607	5466
646	2611	5460
647	2615	5457
648	2618	5451
649	2621	5445
650	2626	5442
651	2629	5436
652	2632	5430
653	2637	5427
654	2640	5421
655	2643	5415
656	2647	5412
657	2651	5407
658	2654	5401
659	2659	5398
660	2662	5392
661	2665	5386
662	2669	5383
663	2672	5377
664	2675	5371
665	2680	5368
666	2683	5363
667	2686	5357
668	2691	5354
669	2694	5348
670	2697	5342
671	2702	5339
672	2705	5333
673	2708	5328
674	2712	5325
675	2716	5319
676	2719	5314
677	2723	5311
678	2727	5305
679	2730	5299
680	2734	5296
681	2737	5290
682	2740	5285
683	2745	5282
684	2748	5276
685	2751	5270
686	2756	5267
687	2759	5261
688	2762	5256
689	2765	5250
690	2770	5247
691	2773	5242
692	2776	5236
693	2780	5233
694	2784	5227
695	2787	5222
696	2792	5219
697	2795	5213
698	2798	5208
699	2802	5205
700	2805	5199
701	2808	5193
702	2813	5190
703	2816	5185
704	2820	5180
705	2824	5177
706	2827	5171
707	2831	5166
708	2835	5163
709	2838	5157
710	2841	5152
711	2846	5148
712	2849	5142
713	2852	5137
714	2856	5134
715	2859	5128
716	2863	5123
717	2867	5120
718	2870	5115
719	2874	5109
720	2878	5106
721	2881	5100
722	2884	5094
723	2889	5091
724	2892	5086
725	2895	5081
726	2900	5078
727	2903	5073
728	2906	5067
729	2911	5064
730	2914	5058
731	2917	5053
732	2921	5050
733	2924	5044
734	2927	5038
735	2932	5035
736	2935	5030
737	2938	5024
738	2942	5021
739	2945	5015
740	2949	5010
741	2953	5007
742	2956	5002
743	2959	4996
744	2964	4993
745	2967	4988
746	2970	4983
747	2975	4980
748	2978	4975
749	2981	4969
750	2986	4966
751	2989	4961
752	2992	4955
753	2997	4952
754	3000	4947
755	3003	4942
756	3007	4939
757	3011	4933
758	3014	4928
759	3018	4925
760	3021	4919
761	3024	4914
762	3029	4910
763	3032	4905
764	3035	4900
765	3039	4897
766	3043	4891
767	3046	4886
768	3050	4883
769	3053	4878
770	3057	4873
771	3061	4869
772	3064	4864
773	3067	4859
774	3072	4856
775	3075	4850
776	3078	4845
777	3082	4842
778	3086	4837
779	3089	4831
780	3093	4828
781	3096	4823
782	3100	4818
783	3104	4815
784	3107	4810
785	3111	4805
786	3115	4801
787	3118	4796
788	3121	4791
789	3126	4788
790	3129	4782
791	3132	4777
792	3137	4774
793	3140	4769
794	3143	4764
795	3148	4761
796	3151	4756
797	3154	4751
798	3158	4747
799	3161	4742
800	3164	4737
801	3169	4734
802	3172	4728
803	3175	4723
804	3179	4720
805	3183	4715
806	3187	4711
807	3191	4708
808	3195	4703
809	3198	4698
810	3203	4695
811	3206	4690
812	3209	4685
813	3214	4683
814	3217	4678
815	3221	4673
816	3224	4668
817	3228	4665
818	3231	4660
819	3235	4655
820	3239	4652
821	3242	4647
822	3245	4641
823	3250	4638
824	3253	4633
825	3256	4628
826	3261	4625
827	3264	4620
828	3267	4615
829	3272	4612
830	3275	4607
831	3278	4602
832	3283	4599
833	3286	4594
834	3289	4589
835	3293	4586
836	3297	4581
837	3300	4576
838	3304	4572
839	3307	4567
840	3311	4563
841	3315	4559
842	3318	4554
843	3321	4549
844	3326	4547
845	3329	4542
846	3333	4537
847	3337	4534
848	3341	4529
849	3344	4524
850	3348	4521
851	3351	4516
852	3354	4510
853	3359	4507
854	3362	4502
855	3365	4497
856	3369	4494
857	3373	4489
858	3376	4484
859	3381	4481
