game_id,date,team_1,team_2,betonline_line,bovada_line,mybookie_line,predicted_total,actual_total,confidence,good_bet_score,over_best_book,over_odds_american,over_odds_decimal,over_potential_profit,under_best_book,under_odds_american,under_odds_decimal,under_potential_profit
20241122_Georgia St._North Carolina Central,2024-11-22,Georgia St.,North Carolina Central,147.5,147.0,147.4,148.2,172,0.5506,0.5695,MyBookie,-110.0,1.912,9.12,Betonline,-110.0,1.909,9.09
20241122_Grand Canyon_Norfolk St.,2024-11-22,Grand Canyon,Norfolk St.,145.0,145.5,145.1,143.2,164,0.364,0.1161,Betonline,-110.0,1.909,9.09,MyBookie,-110.0,1.911,9.11
20241122_Hawaii_North Carolina,2024-11-22,Hawaii,North Carolina,152.0,151.0,151.4,154.8,156,0.7173,0.7675,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.916,9.16
20241122_Hofstra_Houston,2024-11-22,Hofstra,Houston,131.5,132.5,131.8,131.4,124,0.4932,0.4102,Betonline,-110.0,1.909,9.09,Bovada,100.0,2.0,10.0
20241122_Houston Christian_Rice,2024-11-22,Houston Christian,Rice,141.0,140.5,140.7,143.2,119,0.6608,0.8162,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_Illinois Chicago_La Salle,2024-11-22,Illinois Chicago,La Salle,148.0,149.0,148.2,147.3,179,0.4448,0.2624,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.922,9.22
20241122_Illinois St._McNeese St.,2024-11-22,Illinois St.,McNeese St.,137.0,137.0,137.0,139.6,144,0.703,0.7944,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_Incarnate Word_Northern Arizona,2024-11-22,Incarnate Word,Northern Arizona,145.0,146.0,145.4,143.5,149,0.3862,0.4218,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_Iowa_Utah St.,2024-11-22,Iowa,Utah St.,167.5,166.5,167.0,166.5,146,0.4365,0.5366,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_Jackson St._Kentucky,2024-11-22,Jackson St.,Kentucky,159.5,159.0,159.3,160.9,167,0.6081,0.5394,MyBookie,-109.0,1.916,9.16,Betonline,-110.0,1.909,9.09
20241122_Jacksonville St._Toledo,2024-11-22,Jacksonville St.,Toledo,157.0,157.5,157.5,153.3,162,0.2426,0.0501,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_James Madison_UC San Diego,2024-11-22,James Madison,UC San Diego,143.5,143.5,143.3,144.4,140,0.5704,0.5245,MyBookie,-110.0,1.912,9.12,MyBookie,-110.0,1.912,9.12
20241122_Le Moyne_Tennessee Martin,2024-11-22,Le Moyne,Tennessee Martin,147.0,147.0,147.0,146.4,118,0.4519,0.1427,MyBookie,-110.0,1.911,9.11,Betonline,-110.0,1.909,9.09
20241122_Liberty_Louisiana,2024-11-22,Liberty,Louisiana,134.0,134.2,134.2,135.1,158,0.5885,0.5278,Bovada,-108.0,1.928,9.28,Betonline,-110.0,1.909,9.09
20241122_Longwood_UAB,2024-11-22,Longwood,UAB,146.5,146.5,146.6,149.8,170,0.7438,0.8874,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_Louisiana Monroe_Northwestern St.,2024-11-22,Louisiana Monroe,Northwestern St.,139.0,139.0,138.8,141.6,128,0.6955,0.7916,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.922,9.22
20241122_Louisville_Winthrop,2024-11-22,Louisville,Winthrop,155.0,155.5,155.1,155.8,137,0.5625,0.5284,MyBookie,-110.0,1.913,9.13,MyBookie,-110.0,1.913,9.13
20241122_Loyola Marymount_North Dakota,2024-11-22,Loyola Marymount,North Dakota,145.0,144.5,144.9,147.1,150,0.667,0.706,MyBookie,-109.0,1.914,9.14,Betonline,-110.0,1.909,9.09
20241122_LSU_Pittsburgh,2024-11-22,LSU,Pittsburgh,147.0,147.5,147.1,149.5,137,0.6855,0.8029,MyBookie,-110.0,1.912,9.12,MyBookie,-110.0,1.912,9.12
20241122_Miami FL_Oklahoma St.,2024-11-22,Miami FL,Oklahoma St.,158.5,158.5,158.1,160.5,154,0.6582,0.6568,MyBookie,-108.0,1.922,9.22,Betonline,-110.0,1.909,9.09
20241122_Middle Tennessee_South Florida,2024-11-22,Middle Tennessee,South Florida,146.5,146.5,146.3,148.2,183,0.6329,0.6535,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.916,9.16
20241122_Milwaukee_Portland St.,2024-11-22,Milwaukee,Portland St.,162.5,162.5,162.5,163.4,165,0.5678,0.5731,MyBookie,-108.0,1.922,9.22,Betonline,-110.0,1.909,9.09
20241122_Mississippi St._SMU,2024-11-22,Mississippi St.,SMU,157.5,157.0,157.2,158.7,163,0.5948,0.4418,MyBookie,-110.0,1.912,9.12,MyBookie,-110.0,1.912,9.12
20241122_Missouri_Pacific,2024-11-22,Missouri,Pacific,149.0,149.5,149.3,151.3,147,0.6771,0.668,MyBookie,-110.0,1.912,9.12,MyBookie,-110.0,1.912,9.12
20241122_Monmouth_Stephen F. Austin,2024-11-22,Monmouth,Stephen F. Austin,139.5,139.5,139.5,139.7,139,0.5169,0.3933,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.918,9.18
20241122_Murray St._Utah Valley,2024-11-22,Murray St.,Utah Valley,143.5,144.5,144.1,145.6,152,0.6672,0.7028,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_N.C. State_William & Mary,2024-11-22,N.C. State,William & Mary,161.0,161.0,161.0,163.0,145,0.6523,0.6846,MyBookie,-109.0,1.915,9.15,Bovada,-105.0,1.952,9.52
20241122_Nevada_VCU,2024-11-22,Nevada,VCU,140.5,140.5,140.5,139.2,125,0.3962,0.2742,MyBookie,-110.0,1.912,9.12,MyBookie,-110.0,1.912,9.12
20241122_New Orleans_Tulane,2024-11-22,New Orleans,Tulane,149.0,149.5,149.3,150.2,180,0.5984,0.4682,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_Northwestern_Pepperdine,2024-11-22,Northwestern,Pepperdine,137.5,137.5,137.6,137.3,118,0.4805,0.3156,MyBookie,-113.0,1.885,8.85,Betonline,-105.0,1.952,9.52
20241122_Ohio_Portland,2024-11-22,Ohio,Portland,149.0,149.0,149.5,148.1,158,0.442,0.0986,MyBookie,-109.0,1.919,9.19,Betonline,-110.0,1.909,9.09
20241122_Presbyterian_Youngstown St.,2024-11-22,Presbyterian,Youngstown St.,137.5,138.0,138.0,141.4,109,0.7824,0.8773,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_Princeton_Texas St.,2024-11-22,Princeton,Texas St.,136.5,136.5,136.5,138.4,163,0.6519,0.6552,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.921,9.21
