game_id,date,team_1,team_2,betonline_line,bovada_line,mybookie_line,predicted_total,actual_total,confidence,good_bet_score,over_best_book,over_odds_american,over_odds_decimal,over_potential_profit,under_best_book,under_odds_american,under_odds_decimal,under_potential_profit
20241122_San Diego_Southern Utah,2024-11-22,San Diego,Southern Utah,151.5,151.0,151.0,153.0,139,0.6169,0.5565,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_Seton Hall_Vanderbilt,2024-11-22,Seton Hall,Vanderbilt,134.0,134.0,133.8,136.6,136,0.7023,0.8231,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.93,9.3
20241122_Southeastern Louisiana_Wyoming,2024-11-22,Southeastern Louisiana,Wyoming,141.5,141.0,141.3,143.9,125,0.6675,0.7922,MyBookie,-109.0,1.914,9.14,Betonline,-110.0,1.909,9.09
20241122_St. Thomas_Wofford,2024-11-22,St. Thomas,Wofford,142.0,142.1,142.1,143.4,154,0.5955,0.6708,Betonline,-110.0,1.909,9.09,Bovada,-110.0,1.913,9.13
20241122_UC Irvine_Weber St.,2024-11-22,UC Irvine,Weber St.,137.5,136.5,136.8,139.2,180,0.6372,0.6257,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_Utah_Utah Tech,2024-11-22,Utah,Utah Tech,154.0,154.5,154.3,157.7,137,0.7426,0.9527,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Akron_Nebraska Omaha,2024-11-23,Akron,Nebraska Omaha,144.5,145.0,145.1,146.1,176,0.6089,0.6187,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Alabama A&M_Coastal Carolina,2024-11-23,Alabama A&M,Coastal Carolina,135.5,136.5,135.7,136.3,147,0.5608,0.6483,Betonline,-110.0,1.909,9.09,MyBookie,-110.0,1.912,9.12
20241123_Brown_Canisius,2024-11-23,Brown,Canisius,143.5,143.0,143.2,145.2,159,0.6195,0.5875,Betonline,-107.0,1.935,9.35,Bovada,-110.0,1.909,9.09
20241123_Charleston Southern_Furman,2024-11-23,Charleston Southern,Furman,148.0,148.5,147.8,151.7,113,0.7376,0.874,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Charlotte_LIU,2024-11-23,Charlotte,LIU,139.5,139.5,139.0,141.0,155,0.6055,0.7015,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Cleveland St._Kent St.,2024-11-23,Cleveland St.,Kent St.,136.5,136.0,136.0,138.4,120,0.6503,0.6616,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.915,9.15
20241123_Columbia_Stony Brook,2024-11-23,Columbia,Stony Brook,155.5,155.0,155.0,155.5,145,0.4936,0.5378,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241123_Delaware St._Mount St. Mary's,2024-11-23,Delaware St.,Mount St. Mary's,138.0,138.0,137.8,143.4,142,0.8518,0.9568,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.925,9.25
20241123_Delaware_Vermont,2024-11-23,Delaware,Vermont,137.0,137.0,137.2,139.2,146,0.6516,0.7665,Betonline,-110.0,1.909,9.09,Bovada,-105.0,1.952,9.52
20241123_DePaul_Northern Illinois,2024-11-23,DePaul,Northern Illinois,144.5,143.5,144.3,145.9,150,0.6157,0.5578,Bovada,-105.0,1.952,9.52,MyBookie,-109.0,1.915,9.15
20241123_Detroit Mercy_Wake Forest,2024-11-23,Detroit Mercy,Wake Forest,145.0,144.0,144.3,146.0,124,0.582,0.5085,Betonline,-105.0,1.952,9.52,MyBookie,-112.0,1.892,8.92
20241123_Fairfield_Yale,2024-11-23,Fairfield,Yale,140.0,140.0,140.2,141.3,157,0.6045,0.589,MyBookie,-109.0,1.919,9.19,Betonline,-110.0,1.909,9.09
20241123_George Washington_Louisiana,2024-11-23,George Washington,Louisiana,154.2,154.2,154.2,154.3,157,0.5112,0.5445,Betonline,-108.0,1.924,9.24,Betonline,-112.0,1.896,8.96
20241123_Georgetown_Saint Francis,2024-11-23,Georgetown,Saint Francis,144.5,144.5,144.5,146.4,147,0.6535,0.7221,Betonline,-110.0,1.909,9.09,Bovada,-105.0,1.952,9.52
20241123_Georgia_Marquette,2024-11-23,Georgia,Marquette,152.5,152.5,152.5,154.6,149,0.6615,0.7244,Bovada,-105.0,1.952,9.52,Betonline,-105.0,1.952,9.52
20241123_Le Moyne_Texas A&M Corpus Chris,2024-11-23,Le Moyne,Texas A&M Corpus Chris,151.5,151.5,151.5,157.7,143,0.875,0.9731,MyBookie,-110.0,1.909,9.09,MyBookie,-110.0,1.909,9.09
20241123_Loyola Chicago_Tulsa,2024-11-23,Loyola Chicago,Tulsa,147.5,148.0,147.8,148.3,142,0.5631,0.502,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241123_Marshall_Purdue,2024-11-23,Marshall,Purdue,149.5,150.0,149.6,154.2,125,0.8173,0.9407,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Queens_USC Upstate,2024-11-23,Queens,USC Upstate,157.0,155.5,156.2,161.5,172,0.7961,0.9363,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241123_Santa Clara_Stanford,2024-11-23,Santa Clara,Stanford,147.0,147.5,147.1,149.8,140,0.7161,0.807,MyBookie,-110.0,1.913,9.13,MyBookie,-110.0,1.913,9.13
20241123_Stephen F. Austin_Youngstown St.,2024-11-23,Stephen F. Austin,Youngstown St.,128.5,130.5,129.3,129.7,121,0.5887,0.6079,MyBookie,-109.0,1.919,9.19,Betonline,-110.0,1.909,9.09
20241123_Toledo_UC San Diego,2024-11-23,Toledo,UC San Diego,155.0,154.5,154.5,158.8,125,0.769,0.8752,Betonline,-110.0,1.909,9.09,Bovada,-108.0,1.928,9.28
20241124_Air Force_Mercyhurst,2024-11-24,Air Force,Mercyhurst,129.0,128.0,128.2,130.2,130,0.5871,0.5543,Betonline,100.0,2.0,10.0,MyBookie,-113.0,1.889,8.89
